PARADA,LINEVARIANT,STOPSEQUENCE,ORIENTATION
Universidades A1,2,28,1
Univalle A1,2,27,1
Buitrera A1,2,26,1
Melendez A1,2,25,1
Capri A2,2,24,1
Caldas A1,2,23,1
Refugio A1,2,22,1
Pampalinda A1,2,21,1
Plaza de Toros A1,2,20,1
Unidad Deportiva A2,2,19,1
Lido A1,2,18,1
Tequendama A1,2,17,1
Estadio A2,2,16,1
Manzana del Saber A2,2,15,1
Santa Librada A2,2,14,1
San Bosco A2,2,13,1
Fray Damian A1,2,12,1
Centro A1,2,11,1
La Ermita A1,2,10,1
Torre de Cali A2,2,9,1
Rio Cali A1,2,8,1
Fatima A1,2,7,1
Manzanares A1,2,6,1
Popular A1,2,5,1
Salomia A1,2,4,1
Flora Industrial A1,2,3,1
Chiminangos A2,2,2,1
T. Paso del Comercio A2,2,1,1
,,,
Universidades A1,12,10,1
Univalle A1,12,9,1
Buitrera A1,12,8,1
Melendez A1,12,7,1
Capri A2,12,6,1
Caldas A1,12,5,1
Refugio A1,12,4,1
Pampalinda A1,12,3,1
Plaza de Toros A1,12,2,1
Unidad Deportiva A2,12,1,1
,,,
Universidades A1,17,20,1
Univalle A1,17,19,1
Buitrera A1,17,18,1
Melendez A1,17,17,1
Capri A2,17,16,1
Caldas A1,17,15,1
Refugio A1,17,14,1
Pampalinda A1,17,13,1
Plaza de Toros A1,17,12,1
Unidad Deportiva A2,17,11,1
Lido A1,17,10,1
Tequendama A1,17,9,1
Estadio A2,17,8,1
Manzana del Saber A2,17,7,1
Santa Librada A2,17,6,1
San Bosco A2,17,5,1
Fray Damian A1,17,4,1
Centro A1,17,3,1
La Ermita A1,17,2,1
Torre de Cali A2,17,1,1
,,,
Universidades A1,19,26,1
Univalle A1,19,25,1
Buitrera A1,19,24,1
Melendez A1,19,23,1
Capri A2,19,22,1
Caldas A1,19,21,1
Refugio A1,19,20,1
Pampalinda A1,19,19,1
Plaza de Toros A1,19,18,1
Unidad Deportiva A2,19,17,1
Lido A1,19,16,1
Tequendama A1,19,15,1
Estadio A2,19,14,1
Manzana del Saber A2,19,13,1
Santa Librada A2,19,12,1
San Bosco A2,19,11,1
Fray Damian A1,19,10,1
Centro A1,19,9,1
La Ermita A1,19,8,1
Torre de Cali A2,19,7,1
Rio Cali A1,19,6,1
Fatima A1,19,5,1
Manzanares A1,19,4,1
Popular A1,19,3,1
Salomia A1,19,2,1
Flora Industrial A1,19,1,1
